幅值,均值
39.095566,100.415459
71.167143,104.24944
89.446616,112.529187
16.069934,85.245526
56.322843,96.317533
39.842936,102.310364
81.412037,112.345884
9.06202,103.755573
0.36261,68.914524
85.786795,110.174528
0.251361,66.171721
0.496089,65.94267
92.289047,111.540425
0.329583,65.719402
1.091801,67.35344
3.55418,69.772263
3.390428,139.647894
1.429218,70.461805
6.31513,71.705017
6.139539,71.874243
14.953345,74.982911
4.909669,82.484743
27.227061,85.238664
0.080901,71.361028
0.337296,70.158052
10.657181,76.7947
62.290248,98.220925
1.921156,71.428869
5.61775,72.148002
2.619054,68.97858
8.256918,70.972267
76.865445,105.015768
0.133809,66.395258
3.429796,67.591899
4.588873,68.788347
11.789084,78.709189
2.177633,69.253127
6.908863,69.675343
75.744891,103.594069
0.459514,65.833115
0.769646,65.90023
3.790848,71.539826
13.229877,75.766197
26.615798,81.836735
60.278825,97.459661
78.960303,104.968651
3.643626,139.665159
1.267454,116.379382
3.942152,116.202964
1.781852,118.759775
5.059275,121.6871
15.121929,117.637736
0.253933,83.844
6.839822,75.241427
48.784492,94.216882
22.248029,98.934134
16.46095,99.261003
0.553137,77.715702
36.55707,95.188084
1.347947,75.700721
4.721799,77.898004
12.659702,80.872572
1.585775,73.477435
16.498042,94.534643
2.961923,104.424914
0.56076,110.203839
1.067721,113.511115
0.461329,117.852948
2.237433,115.035497
1.830353,108.65663
11.516148,86.684008
1.256955,77.492572
1.852913,76.319611
45.859544,95.2211
9.346617,73.512517
50.64109,93.624146
0.328412,69.931816
1.001018,71.42176
3.472735,111.369083
2.768538,107.417307
3.397175,106.335592
20.250605,109.917351
11.793924,84.609479
6.151113,78.185281
1.303577,71.780084
2.270713,71.995711
54.067666,96.74715
11.976594,109.401062
1.483558,74.130271
65.913644,101.120657
1.819256,68.143235
6.734596,73.473844
0.911456,69.650775
0.304837,67.252942
0.967446,67.500313
1.792511,67.753654
0.827138,68.362888
0.985442,67.61045
2.23989,67.844668
20.644614,76.622288
1.298923,134.490673
1.856373,81.815271
0.55138,71.519293
0.876993,71.622
28.846403,84.981405
0.708824,70.709672
0.965158,70.791324
0.6306,69.640133
0.100853,67.945205
0.983675,68.093304
0.988555,67.790666
1.7307,67.865207
82.118216,106.68901
91.918326,111.341125
0.757438,67.853497
1.70899,67.399489
4.159284,68.119884
0.078891,68.286082
0.343526,70.422671
5.891296,68.697949
0.986982,136.498668
3.846575,68.062629
1.779693,67.516765
3.36001,67.877809
7.227169,69.554558
3.381026,67.555076
0.686404,66.098684
1.058368,66.226948
4.992888,68.107489
0.063974,65.600343
0.356207,71.41338
1.405713,70.543262
4.475846,71.782076
0.539203,69.311883
2.561881,69.485491
0.225954,66.344806
21.749892,76.307193
8.620171,83.41669
46.908242,92.314903
83.91583,107.383162
1.285236,144.201647
1.029445,73.058424
14.979708,78.111707
0.276184,69.856089
13.127629,78.754402
50.880305,92.798271
10.125578,141.45907
5.848255,123.152783
31.27594,97.028519
91.839187,112.387735
14.365826,146.301904
